Kennziffer;Raumeinheit;Aggregat;Medianeinkommen;Einwohnerdichte;Ländlichkeit;Pkw-Dichte;Pendler mit Arbeitsweg 50 km und mehr;Auspendler
"09571";"Ansbach";"Landkreis";"2.865";"93";"73";"644";"9,4";"74,5"
"09572";"Erlangen-Höchstadt";"Landkreis";"3.953";"240";"7";"646";"6,5";"80,2"
"09573";"Fürth";"Landkreis";"2.862";"378";"4";"633";"7,0";"87,1"
"09574";"Nürnberger Land";"Landkreis";"3.143";"212";"16";"621";"7,9";"80,7"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"2.765";"79";"72";"636";"10,7";"76,4"
"09576";"Roth";"Landkreis";"2.975";"141";"41";"653";"9,9";"76,2"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"3.029";"97";"61";"629";"14,7";"69,6"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"3.327";"1.120";"0";"618";"9,1";"51,8"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"3.962";"1.497";"0";"509";"8,0";"36,0"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"3.317";"1.446";"0";"493";"13,0";"35,9"
"09671";"Aschaffenburg";"Landkreis";"3.070";"249";"4";"647";"10,9";"83,7"
"09672";"Bad Kissingen";"Landkreis";"2.887";"91";"67";"651";"11,1";"73,4"
"09673";"Rhön-Grabfeld";"Landkreis";"3.117";"78";"81";"652";"10,6";"76,6"
"09674";"Haßberge";"Landkreis";"3.128";"88";"74";"661";"8,9";"78,5"
"09675";"Kitzingen";"Landkreis";"3.064";"132";"49";"643";"9,0";"75,9"
"09676";"Miltenberg";"Landkreis";"3.108";"180";"20";"631";"10,7";"83,4"
"09677";"Main-Spessart";"Landkreis";"3.400";"96";"56";"649";"9,2";"74,1"
"09678";"Schweinfurt";"Landkreis";"2.709";"137";"54";"654";"8,1";"88,5"
"09679";"Würzburg";"Landkreis";"2.980";"167";"29";"632";"9,9";"88,4"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"3.550";"1.994";"0";"451";"18,2";"41,1"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"3.064";"1.086";"0";"535";"12,6";"49,1"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"3.161";"1.080";"0";"545";"8,8";"43,9"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"3.259";"620";"0";"571";"9,6";"38,2"
"09771";"Aichach-Friedberg";"Landkreis";"2.973";"170";"40";"618";"20,0";"80,8"
"09772";"Augsburg";"Landkreis";"2.922";"233";"28";"624";"12,6";"84,0"
"09773";"Dillingen a.d.Donau";"Landkreis";"3.140";"120";"69";"641";"8,9";"74,3"
"09774";"Günzburg";"Landkreis";"3.116";"163";"29";"634";"9,2";"74,6"
"09775";"Neu-Ulm";"Landkreis";"3.392";"334";"9";"601";"9,1";"76,9"
"09776";"Lindau (Bodensee)";"Landkreis";"3.334";"251";"18";"614";"8,6";"65,0"
"09777";"Ostallgäu";"Landkreis";"3.231";"100";"69";"618";"11,6";"71,6"
"09778";"Unterallgäu";"Landkreis";"3.297";"116";"61";"644";"10,6";"78,0"
